name,parent,size,sqrt_size,ln_size,bounded_size
1,,590,24.289915602982237,6.380122536899765,1.2085561497326207
2,1,710,26.645825188948457,6.565264970035361,1.2513368983957225
3,1,820,28.635642126552707,6.709304340258298,1.2905525846702322
4,1,460,21.447610589527216,6.131226489483141,1.1622103386809268
5,1,650,25.495097567963924,6.476972362889683,1.2299465240641716
6,1,380,19.493588689617926,5.940171252720432,1.1336898395721917
7,1,340,18.439088914585774,5.8289456176102075,1.119429590017825
8,1,350,18.708286933869708,5.857933154483459,1.1229946524064172
9,1,450,21.213203435596427,6.1092475827643655,1.1586452762923347
10,1,440,20.97617696340303,6.0867747269123065,1.1550802139037426
11,1,410,20.248456731316587,6.016157159698354,1.144385026737968
12,1,540,23.2379000772445,6.29156913955832,1.190730837789662
13,1,570,23.874672772626646,6.345636360828596,1.2014260249554365
14,1,510,22.58317958127243,6.234410725718371,1.1800356506238856
15,1,710,26.645825188948457,6.565264970035361,1.2513368983957225
16,1,810,28.460498941515414,6.697034247666484,1.28698752228164
17,1,300,17.320508075688775,5.703782474656201,1.1051693404634584
18,1,470,21.6794833886788,6.152732694704104,1.165775401069519
19,1,930,30.495901363953813,6.835184586147301,1.3297682709447418
20,1,680,26.076809620810597,6.522092798170152,1.2406417112299462
21,1,310,17.60681686165901,5.736572297479192,1.1087344028520505
22,1,150,12.24744871391589,5.0106352940962555,1.0516934046345803
23,1,610,24.698178070456937,6.413458957167357,1.2156862745098032
24,1,650,25.495097567963924,6.476972362889683,1.2299465240641716
25,1,390,19.748417658131498,5.966146739123692,1.1372549019607838
26,1,720,26.832815729997478,6.579251212010101,1.2549019607843146
27,1,590,24.289915602982237,6.380122536899765,1.2085561497326207
28,1,740,27.202941017470888,6.606650186198215,1.262032085561497
29,1,1010,31.78049716414141,6.917705609835305,1.3582887700534751
30,1,480,21.908902300206645,6.173786103901937,1.169340463458111
31,1,570,23.874672772626646,6.345636360828596,1.2014260249554365
32,1,170,13.038404810405298,5.135798437050262,1.0588235294117645
33,1,530,23.021728866442675,6.272877006546167,1.1871657754010698
34,1,960,30.983866769659336,6.866933284461882,1.3404634581105164
35,1,450,21.213203435596427,6.1092475827643655,1.1586452762923347
36,1,600,24.49489742783178,6.396929655216146,1.2121212121212128
37,1,580,24.08318915758459,6.363028103540465,1.2049910873440286
38,1,320,17.88854381999832,5.768320995793772,1.1122994652406408
